Year	Director	Movie	Countries
1946	René Clément	The Battle of the Rails	France
1949	René Clément	The Walls of Malapaga	France
1951	Luis Buñuel	The Young and the Damned	Mexico
1952	Christian-Jaque	Fanfan la Tulipe	France
1955	Jules Dassin	Rififi	France
1955	Sergei Vasilyev	Heroes of Shipka	Russia
1956	Sergei Yutkevich	Othello	Russia
1957	Robert Bresson	A Man Escaped or: The Wind Bloweth Where It Listeth	France
1958	Ingmar Bergman	Brink of Life	Sweden
1959	François Truffaut	The 400 Blows	France
1961	Yuliya Solntseva	The Story of the Flaming Years	Russia
1965	Liviu Ciulei	Forest of the Hanged	Romania
1966	Sergei Yutkevich	Lenin in Poland	Russia
1967	Ferenc Kósa	Ten Thousand Days	Hungary
1969	Glauber Rocha	Antonio das Mortes	Brazil
1969	Vojtěch Jasný	All My Compatriots	Czech_Republic
1970	John Boorman	Leo the Last	United_Kingdom
1972	Miklós Jancsó	Red Psalm	Hungary
1975	Michel Brault	Orderers	Canada
1975	Costa Gavras	Special Section	Greece
1976	Ettore Scola	Down and Dirty	Italy
1978	Nagisa Oshima	Empire of Passion	Japan
1979	Terrence Malick	Days of Heaven	United_States
1982	Werner Herzog	Fitzcarraldo	Germany
1983	Robert Bresson	Money	France
1983	Andrei Tarkovsky	Nostalgia	Russia
1984	Bertrand Tavernier	A Sunday in the Country	France
1985	André Téchiné	Rendez-vous	France
1986	Martin Scorsese	After Hours	United_States
1987	Wim Wenders	Wings of Desire	Germany
1988    Fernando Solanas	Sur Argentina
1989	Emir Kusturica	Time of the Gypsies	Yugoslavia
1990	Pavel Lungin	Taxi Blues	Russia
1991	Joel Coen	Barton Fink	United_States
1992	Robert Altman	The Player	United_States
1993	Mike Leigh	Naked	United_Kingdom
1994	Nanni Moretti	Dear Diary	Italy
1995	Mathieu Kassovitz	Hate	France
1996	Joel Coen	Fargo	United_States
1997	Wong Kar-wai	Happy Together	Hong_Kong
1998	John Boorman	The General	United_Kingdom
1999	Pedro Almodóvar	All About My Mother	Spain
2000	Edward Yang	A One and a Two	Taiwan
2001	Joel Coen	The Man Who Wasn't There	United_States
2001	David Lynch	Mulholland Drive	United_States
2002	Im Kwon-taek	Painted Fire	South_Korea
2002	Paul Thomas Anderson	Punch-Drunk Love	United_States
2003	Gus Van Sant	Elephant	United_States
2004	Tony Gatlif	Exiles	France
2005	Michael Haneke	Hidden	Austria
2006	Alejandro González Iñárritu	Babel	Mexico
2007	Julian Schnabel	The Diving Bell and the Butterfly	United_States
2008	Nuri Bilge Ceylan	Three Monkeys	Turkey
2009	Brillante Mendoza	Butchered	Philippines
2010	Mathieu Amalric	On Tour	France
2011	Nicolas Winding Refn	Drive	United_States
2012	Carlos Reygadas	Post Tenebras Lux	Mexico
2013	Amat Escalante	Heli	Mexico
2014	Bennett Miller	Foxcatcher	United_States
2015	Hou Hsiao-hsien	The Assassin	Taiwan
2016	Cristian Mungiu	Graduation	Romania
2016	Olivier Assayas	Personal Shopper	France
2017	Sofia Coppola	The Beguiled	United_States
2018	Paweł Pawlikowski	Cold War	Poland
2019	Jean-Pierre and Luc Dardenne	Young Ahmed	Belgium
